id,byte0,byte1,byte2,byte3,byte4,byte5,byte6,byte7,time_interval,same_id_time_interval,label
0,0,0,0,0,0,0,0,0,0,0,MALIGN
0,0,0,0,0,0,0,0,0,0.0030150413513183594,0,MALIGN
0,0,0,0,0,0,0,0,0,0.00020694732666015625,0.00020694732666015625,MALIGN
0,0,0,0,0,0,0,0,0,0.0030150413513183594,0.0030150413513183594,MALIGN
0,0,0,0,0,0,0,0,0,0.0002899169921875,0.0002899169921875,MALIGN
0,0,0,0,0,0,0,0,0,0.0030260086059570312,0.0030260086059570312,MALIGN
0,0,0,0,0,0,0,0,0,0.000347137451171875,0.000347137451171875,MALIGN
0,0,0,0,0,0,0,0,0,0.003016948699951172,0.003016948699951172,MALIGN
0,0,0,0,0,0,0,0,0,0.0003230571746826172,0.0003230571746826172,MALIGN
0,0,0,0,0,0,0,0,0,0.0030188560485839844,0.0030188560485839844,MALIGN
0,0,0,0,0,0,0,0,0,0.0003669261932373047,0.0003669261932373047,MALIGN
0,0,0,0,0,0,0,0,0,0.003027200698852539,0.003027200698852539,MALIGN
0,0,0,0,0,0,0,0,0,0.00048279762268066406,0.00048279762268066406,MALIGN
0,0,0,0,0,0,0,0,0,0.003027200698852539,0.003027200698852539,MALIGN
0,0,0,0,0,0,0,0,0,0.00036787986755371094,0.00036787986755371094,MALIGN
0,0,0,0,0,0,0,0,0,0.0030329227447509766,0.0030329227447509766,MALIGN
0,0,0,0,0,0,0,0,0,0.0008711814880371094,0.0008711814880371094,MALIGN
0,0,0,0,0,0,0,0,0,0.0030410289764404297,0.0030410289764404297,MALIGN
0,0,0,0,0,0,0,0,0,0.0004889965057373047,0.0004889965057373047,MALIGN
0,0,0,0,0,0,0,0,0,0.0030508041381835938,0.0030508041381835938,MALIGN
0,0,0,0,0,0,0,0,0,0.0006701946258544922,0.0006701946258544922,MALIGN
0,0,0,0,0,0,0,0,0,0.003023862838745117,0.003023862838745117,MALIGN
0,0,0,0,0,0,0,0,0,0.00032806396484375,0.00032806396484375,MALIGN
0,0,0,0,0,0,0,0,0,0.003020048141479492,0.003020048141479492,MALIGN
0,0,0,0,0,0,0,0,0,0.0003409385681152344,0.0003409385681152344,MALIGN
0,0,0,0,0,0,0,0,0,0.003033876419067383,0.003033876419067383,MALIGN
0,0,0,0,0,0,0,0,0,0.0006630420684814453,0.0006630420684814453,MALIGN
0,0,0,0,0,0,0,0,0,0.0030241012573242188,0.0030241012573242188,MALIGN
0,0,0,0,0,0,0,0,0,0.000392913818359375,0.000392913818359375,MALIGN
0,0,0,0,0,0,0,0,0,0.003033161163330078,0.003033161163330078,MALIGN
0,0,0,0,0,0,0,0,0,0.0006558895111083984,0.0006558895111083984,MALIGN
0,0,0,0,0,0,0,0,0,0.0030210018157958984,0.0030210018157958984,MALIGN
0,0,0,0,0,0,0,0,0,0.00036406517028808594,0.00036406517028808594,MALIGN
0,0,0,0,0,0,0,0,0,0.003016948699951172,0.003016948699951172,MALIGN
0,0,0,0,0,0,0,0,0,0.00034689903259277344,0.00034689903259277344,MALIGN
0,0,0,0,0,0,0,0,0,0.003025054931640625,0.003025054931640625,MALIGN
0,0,0,0,0,0,0,0,0,0.0003199577331542969,0.0003199577331542969,MALIGN
0,0,0,0,0,0,0,0,0,0.003020048141479492,0.003020048141479492,MALIGN
0,0,0,0,0,0,0,0,0,0.00039005279541015625,0.00039005279541015625,MALIGN
0,0,0,0,0,0,0,0,0,0.003025054931640625,0.003025054931640625,MALIGN
0,0,0,0,0,0,0,0,0,0.00039196014404296875,0.00039196014404296875,MALIGN
0,0,0,0,0,0,0,0,0,0.003022909164428711,0.003022909164428711,MALIGN
0,0,0,0,0,0,0,0,0,0.0003540515899658203,0.0003540515899658203,MALIGN
0,0,0,0,0,0,0,0,0,0.003020048141479492,0.003020048141479492,MALIGN
0,0,0,0,0,0,0,0,0,0.0003688335418701172,0.0003688335418701172,MALIGN
0,0,0,0,0,0,0,0,0,0.0030221939086914062,0.0030221939086914062,MALIGN
0,0,0,0,0,0,0,0,0,0.0004048347473144531,0.0004048347473144531,MALIGN
0,0,0,0,0,0,0,0,0,0.0030269622802734375,0.0030269622802734375,MALIGN
0,0,0,0,0,0,0,0,0,0.0004730224609375,0.0004730224609375,MALIGN
0,0,0,0,0,0,0,0,0,0.0030231475830078125,0.0030231475830078125,MALIGN
0,0,0,0,0,0,0,0,0,0.0002758502960205078,0.0002758502960205078,MALIGN
0,0,0,0,0,0,0,0,0,0.0030171871185302734,0.0030171871185302734,MALIGN
0,0,0,0,0,0,0,0,0,0.0002930164337158203,0.0002930164337158203,MALIGN
0,0,0,0,0,0,0,0,0,0.0030198097229003906,0.0030198097229003906,MALIGN
0,0,0,0,0,0,0,0,0,0.0004181861877441406,0.0004181861877441406,MALIGN
0,0,0,0,0,0,0,0,0,0.0030279159545898438,0.0030279159545898438,MALIGN
0,0,0,0,0,0,0,0,0,0.0004630088806152344,0.0004630088806152344,MALIGN
0,0,0,0,0,0,0,0,0,0.0030279159545898438,0.0030279159545898438,MALIGN
0,0,0,0,0,0,0,0,0,0.0006320476531982422,0.0006320476531982422,MALIGN
0,0,0,0,0,0,0,0,0,0.0030269622802734375,0.0030269622802734375,MALIGN
0,0,0,0,0,0,0,0,0,0.000370025634765625,0.000370025634765625,MALIGN
0,0,0,0,0,0,0,0,0,0.0030150413513183594,0.0030150413513183594,MALIGN
0,0,0,0,0,0,0,0,0,0.0002200603485107422,0.0002200603485107422,MALIGN
0,0,0,0,0,0,0,0,0,0.0030379295349121094,0.0030379295349121094,MALIGN
0,0,0,0,0,0,0,0,0,0.0007050037384033203,0.0007050037384033203,MALIGN
0,0,0,0,0,0,0,0,0,0.00302886962890625,0.00302886962890625,MALIGN
0,0,0,0,0,0,0,0,0,0.0004611015319824219,0.0004611015319824219,MALIGN
0,0,0,0,0,0,0,0,0,0.0030460357666015625,0.0030460357666015625,MALIGN
0,0,0,0,0,0,0,0,0,0.0005199909210205078,0.0005199909210205078,MALIGN
0,0,0,0,0,0,0,0,0,0.003017902374267578,0.003017902374267578,MALIGN
